,expected_file,file_available,filename,start,filepath,filesize,expected_end,expected_duration,expected_records
2016-10-24 10:00:00,2016-10-24 10:00:00,1.0,20161024100000,2016-10-24 10:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024100000.csv,9763936.0,2016-10-24 10:30:00,1800.0,36000.0
2016-10-24 10:30:00,2016-10-24 10:30:00,1.0,20161024103000,2016-10-24 10:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024103000.csv,9711257.0,2016-10-24 11:00:00,1800.0,36000.0
2016-10-24 11:00:00,2016-10-24 11:00:00,1.0,20161024110000,2016-10-24 11:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024110000.csv,9848007.0,2016-10-24 11:30:00,1800.0,36000.0
2016-10-24 11:30:00,2016-10-24 11:30:00,1.0,20161024113000,2016-10-24 11:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024113000.csv,9968045.0,2016-10-24 12:00:00,1800.0,36000.0
2016-10-24 12:00:00,2016-10-24 12:00:00,1.0,20161024120000,2016-10-24 12:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024120000.csv,10031776.0,2016-10-24 12:30:00,1800.0,36000.0
2016-10-24 12:30:00,2016-10-24 12:30:00,1.0,20161024123000,2016-10-24 12:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024123000.csv,9949089.0,2016-10-24 13:00:00,1800.0,36000.0
2016-10-24 13:00:00,2016-10-24 13:00:00,1.0,20161024130000,2016-10-24 13:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024130000.csv,10062854.0,2016-10-24 13:30:00,1800.0,36000.0
2016-10-24 13:30:00,2016-10-24 13:30:00,1.0,20161024133000,2016-10-24 13:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024133000.csv,9799880.0,2016-10-24 14:00:00,1800.0,36000.0
2016-10-24 14:00:00,2016-10-24 14:00:00,1.0,20161024140000,2016-10-24 14:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024140000.csv,9846195.0,2016-10-24 14:30:00,1800.0,36000.0
2016-10-24 14:30:00,2016-10-24 14:30:00,1.0,20161024143000,2016-10-24 14:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\input_data\20161024143000.csv,9880859.0,2016-10-24 15:00:00,1800.0,36000.0
2016-10-24 15:00:00,2016-10-24 15:00:00,0.0,,,,,,,
