,expected_file,file_available,filename,start,filepath,filesize,expected_end,expected_duration,expected_records
2016-10-24 10:00:00,2016-10-24 10:00:00,1.0,20161024100000_DYCO,2016-10-24 10:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024100000_DYCO.csv,9632350.0,2016-10-24 10:30:00,1800.0,36000.0
2016-10-24 10:30:00,2016-10-24 10:30:00,1.0,20161024103000_DYCO,2016-10-24 10:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024103000_DYCO.csv,9560075.0,2016-10-24 11:00:00,1800.0,36000.0
2016-10-24 11:00:00,2016-10-24 11:00:00,1.0,20161024110000_DYCO,2016-10-24 11:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024110000_DYCO.csv,9719484.0,2016-10-24 11:30:00,1800.0,36000.0
2016-10-24 11:30:00,2016-10-24 11:30:00,1.0,20161024113000_DYCO,2016-10-24 11:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024113000_DYCO.csv,9869160.0,2016-10-24 12:00:00,1800.0,36000.0
2016-10-24 12:00:00,2016-10-24 12:00:00,1.0,20161024120000_DYCO,2016-10-24 12:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024120000_DYCO.csv,9889446.0,2016-10-24 12:30:00,1800.0,36000.0
2016-10-24 12:30:00,2016-10-24 12:30:00,1.0,20161024123000_DYCO,2016-10-24 12:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024123000_DYCO.csv,9781883.0,2016-10-24 13:00:00,1800.0,36000.0
2016-10-24 13:00:00,2016-10-24 13:00:00,1.0,20161024130000_DYCO,2016-10-24 13:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024130000_DYCO.csv,9810112.0,2016-10-24 13:30:00,1800.0,36000.0
2016-10-24 13:30:00,2016-10-24 13:30:00,1.0,20161024133000_DYCO,2016-10-24 13:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024133000_DYCO.csv,9645002.0,2016-10-24 14:00:00,1800.0,36000.0
2016-10-24 14:00:00,2016-10-24 14:00:00,1.0,20161024140000_DYCO,2016-10-24 14:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024140000_DYCO.csv,9749237.0,2016-10-24 14:30:00,1800.0,36000.0
2016-10-24 14:30:00,2016-10-24 14:30:00,1.0,20161024143000_DYCO,2016-10-24 14:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\1-7__input_files__normalized\20161024143000_DYCO.csv,9695057.0,2016-10-24 15:00:00,1800.0,36000.0
2016-10-24 15:00:00,2016-10-24 15:00:00,0.0,,,,,,,
