,expected_file,file_available,filename,start,filepath,filesize,expected_end,expected_duration,expected_records
2016-10-24 10:00:00,2016-10-24 10:00:00,1.0,20161024100000_DYCO_DYCO,2016-10-24 10:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024100000_DYCO_DYCO.csv,10170568.0,2016-10-24 10:30:00,1800.0,36000.0
2016-10-24 10:30:00,2016-10-24 10:30:00,1.0,20161024103000_DYCO_DYCO,2016-10-24 10:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024103000_DYCO_DYCO.csv,10105721.0,2016-10-24 11:00:00,1800.0,36000.0
2016-10-24 11:00:00,2016-10-24 11:00:00,1.0,20161024110000_DYCO_DYCO,2016-10-24 11:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024110000_DYCO_DYCO.csv,10254185.0,2016-10-24 11:30:00,1800.0,36000.0
2016-10-24 11:30:00,2016-10-24 11:30:00,1.0,20161024113000_DYCO_DYCO,2016-10-24 11:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024113000_DYCO_DYCO.csv,10363953.0,2016-10-24 12:00:00,1800.0,36000.0
2016-10-24 12:00:00,2016-10-24 12:00:00,1.0,20161024120000_DYCO_DYCO,2016-10-24 12:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024120000_DYCO_DYCO.csv,10430486.0,2016-10-24 12:30:00,1800.0,36000.0
2016-10-24 12:30:00,2016-10-24 12:30:00,1.0,20161024123000_DYCO_DYCO,2016-10-24 12:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024123000_DYCO_DYCO.csv,10352960.0,2016-10-24 13:00:00,1800.0,36000.0
2016-10-24 13:00:00,2016-10-24 13:00:00,1.0,20161024130000_DYCO_DYCO,2016-10-24 13:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024130000_DYCO_DYCO.csv,10455970.0,2016-10-24 13:30:00,1800.0,36000.0
2016-10-24 13:30:00,2016-10-24 13:30:00,1.0,20161024133000_DYCO_DYCO,2016-10-24 13:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024133000_DYCO_DYCO.csv,10199166.0,2016-10-24 14:00:00,1800.0,36000.0
2016-10-24 14:00:00,2016-10-24 14:00:00,1.0,20161024140000_DYCO_DYCO,2016-10-24 14:00:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024140000_DYCO_DYCO.csv,10254258.0,2016-10-24 14:30:00,1800.0,36000.0
2016-10-24 14:30:00,2016-10-24 14:30:00,1.0,20161024143000_DYCO_DYCO,2016-10-24 14:30:00,L:\Dropbox\luhk_work\programming\DYCO_Dynamic_Lag_Compensation\example\output\2-7__normalized_files__normalized\20161024143000_DYCO_DYCO.csv,10278566.0,2016-10-24 15:00:00,1800.0,36000.0
2016-10-24 15:00:00,2016-10-24 15:00:00,0.0,,,,,,,
